docs,0,1,2,4,8,16,32,64
2048,515,761,430,416,525,887,1674,3328
2560,648,924,521,462,543,910,1678,3339
3072,778,1066,621,511,590,950,1730,3398
3584,927,1204,700,552,633,984,1768,3456
4096,1042,1346,809,607,656,1016,1807,3487
4608,1181,1484,919,643,706,1055,1853,3493
5120,1323,1606,1016,684,732,1081,1862,3514
5632,1426,1738,1081,734,765,1104,1893,3544
6144,1571,1886,1164,825,816,1129,1919,3598
6656,1688,2010,1247,861,851,1159,1953,3606
7168,1824,2135,1341,968,879,1249,1972,3654
7680,1954,2258,1412,963,937,1215,1996,3666
8192,2066,2450,1504,1053,956,1260,2014,3711
